|class|order|family|genus|species|pollen unit|dispersal unit and peculiarities|size (pollen unit)|pollen class|polarity|shape|outline in polar view|shape (dry pollen)|outline in polar view (dry pollen)|infoldings (dry pollen)|aperture number|aperture type|aperture condition|aperture peculiarities|ornamentation LM|nexine|sexine|ornamentation SEM|tectum|infratectum|foot layer|endexine|intine|wall peculiarities|pollen coatings|reserves in cytoplasm|cell number|Ubisch bodies|how many figures?
0|Angiospermae|Fagales|Betulaceae|Alnus|Alnus glutinosa|monad|monad|medium-sized (26-50 µm)|porate|isopolar|oblate|polygonal|oblate|polygonal|interapertural area sunken|5|porus|porate, stephanoporate|stephanoaperturate|scabrate|-|-|microrugulate, microechinate|eutectate|granular|continuous|absent|monolayered|arcus|absent|lipids|2-celled|present|4
0|Angiospermae|Fagales|Betulaceae|Betula|Betula humilis|monad|monad|small (10-25 µm)|porate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded|3|porus|porate, triporate|annulus, operculum, oncus|psilate|-|-|rugulate, microechinate|eutectate|columellate|continuous|absent|monolayered|-|absent|starch|2-celled|present|4
0|Angiospermae|Fagales|Betulaceae|Betula|Betula pendula|monad|monad|small (10-25 µm)|porate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded, interapertural area sunken|3|porus|porate, triporate|annulus, operculum, oncus|psilate|-|-|rugulate, microechinate|eutectate|columellate|continuous|absent|monolayered|-|absent|starch|2-celled|present|4
0|Angiospermae|Fagales|Betulaceae|Carpinus|Carpinus betulus|monad|monad|medium-sized (26-50 µm)|porate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded|4|porus|porate, tetraporate|operculum, oncus|scabrate|-|-|rugulate, microechinate|eutectate|granular|continuous|absent|monolayered|-|absent|starch|2-celled|present|4
0|Spermatophyta|Fagales|Betulaceae|Corylus|Corylus avellana|monad|monad|medium-sized (26-50 µm)|porate|isopolar|spheroidal|circular|oblate|triangular|interapertural area sunken|3|porus|porate, triporate|annulus, operculum, oncus|psilate|-|-|rugulate, granulate|eutectate|granular|continuous|absent|monolayered|-|absent|starch|2-celled|present|4
0|Spermatophyta|Fagales|Betulaceae|Corylus|Corylus colurna|monad|monad|medium-sized (26-50 µm)|porate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded|3|porus|porate, triporate|annulus, operculum, oncus|scabrate|-|-|microechinate, rugulate|eutectate|granular|continuous|compact-continuous|monolayered|-|absent|starch|2-celled|present|4
0|Angiospermae|Ranunculales|Berberidaceae|Berberis|Berberis vulgaris|monad|monad|medium-sized (26-50 µm)|spiraperturate|-|spheroidal|circular|spheroidal|circular|not infolded|-|spiral aperture(s)|spiraperturate|-|psilate|-|-|psilate, perforate|eutectate|absent|absent|compact-continuous|monolayered|-|pollenkitt|starch, lipids|2-celled|absent|3
0|Angiospermae|Ranunculales|Berberidaceae|Epimedium|Epimedium alpinum|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|scabrate|-|-|striato-microreticulate|semitectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|starch, lipids|2-celled|present|4
0|Angiospermae|Ranunculales|Berberidaceae|Mahonia|Mahonia aquifolium|monad|monad|medium-sized (26-50 µm)|clypeate|-|spheroidal|circular|spheroidal|circular|aperture(s) sunken, not infolded|>6|colpus|colpate, syncolpate, pantocolpate|synaperturate, pantoaperturate|psilate|-|-|psilate, perforate|eutectate|absent|absent|compact-continuous|monolayered|-|pollenkitt|starch, lipids|2-celled|absent|2
0|Angiospermae|Asterales|Asteraceae|Ambrosia|Ambrosia artemisiifolia|monad|monad|small (10-25 µm)|colporate|isopolar|spheroidal|circular|spheroidal|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|brevicolporus|echinate|present|present|echinate, perforate|eutectate|columellate|absent|lamellar-continuous|monolayered|-|absent|-|3-celled|absent|4
0|Angiospermae|Asterales|Asteraceae|Artemisia|Artemisia dracunculus|monad|monad|small (10-25 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, triporate|-|echinate|-|-|echinate, granulate|-|-|-|-|-|-|-|-|3-celled|absent|4
0|Angiospermae|Asterales|Asteraceae|Artemisia|Artemisia vulgaris|monad|monad|small (10-25 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, triporate|-|echinate|-|-|microechinate, granulate|-|-|-|-|-|-|-|-|3-celled|absent|4
0|Angiospermae|Asterales|Asteraceae|Carthamus|Carthamus lanatus|monad|monad|large (51-100 µm)|colporate|isopolar|prolate|circular|prolate|circular|not infolded|3|colporus|colporate, tricolporate|aperture membrane ornamented|-|-|-|echinate, microreticulate|-|-|-|-|-|-|-|-|-|-|1
0|Angiospermae|Asterales|Asteraceae|Centaurea|Centaurea cyanus|monad|monad|medium-sized (26-50 µm)|colporate|isopolar|prolate|triangular|prolate|triangular|aperture(s) sunken|3|colporus|colporate, tricolporate|-|scabrate|-|-|microechinate|eutectate|columellate|continuous|compact-continuous|monolayered|internal tectum|pollenkitt|starch|3-celled|absent|4
0|Angiospermae|Asterales|Asteraceae|Solidago|Solidago canadensis|monad|monad|small (10-25 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|-|echinate|-|-|echinate, perforate|eutectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|-|3-celled|absent|4
